Name,Geneder,Developer,ESBR clasification

The Legend of Zelda: Breath of the Wild,Acción-aventura,Nintendo,Everyone 10+ (E10+)

Grand Theft Auto V,Mundo abierto / Acción,Rockstar Games,Mature 17+ (M)

Minecraft,Sandbox / Supervivencia,Mojang Studios,Everyone 10+ (E10+)

Call of Duty: Modern Warfare II,Shooter (FPS),Infinity Ward,Mature 17+ (M)

Animal Crossing: New Horizons,Simulación / Social,Nintendo,Everyone (E)

God of War: Ragnarök,Acción-aventura,Santa Monica Studio,Mature 17+ (M)

Fortnite,Battle Royale / Shooter,Epic Games,Teen (T)

Elden Ring,RPG / Mundo abierto,FromSoftware,Mature 17+ (M)

Overwatch 2,Shooter (FPS) / MOBA,Blizzard Entertainment,Teen (T)

Super Mario Odyssey,Plataformas / Aventura,Nintendo,Everyone 10+ (E10+)

